TIMESTEP,Chihuahuan Deserts
8/15/1990,23.64546
9/15/1990,19.418003
10/15/1990,14.922879
11/15/1990,8.17939
12/15/1990,2.9957993
1/16/1991,2.763296
2/16/1991,6.7786455
3/15/1991,7.507391
4/15/1991,13.61579
5/15/1991,19.288519
6/15/1991,21.619408
7/15/1991,24.360407
8/15/1991,22.360638
9/15/1991,19.66936
10/15/1991,13.66017
11/15/1991,7.4683046
12/15/1991,2.1774127
1/16/1992,1.532634
2/16/1992,5.6255517
3/15/1992,8.858804
4/15/1992,11.329101
5/15/1992,16.587458
6/15/1992,23.80022
7/15/1992,23.871822
8/15/1992,20.934853
9/15/1992,18.367538
10/15/1992,12.261995
11/15/1992,5.761296
12/15/1992,4.360467
1/16/1993,4.012396
2/16/1993,4.16187
3/15/1993,8.012628
4/15/1993,10.914908
5/15/1993,15.802129
6/15/1993,22.995104
7/15/1993,22.541487
8/15/1993,22.8447
9/15/1993,20.474813
10/15/1993,13.896466
11/15/1993,4.1394677
12/15/1993,3.2682889
1/16/1994,0.2404279
2/16/1994,6.007624
3/15/1994,6.1722984
4/15/1994,11.1675
5/15/1994,15.594841
6/15/1994,21.699677
7/15/1994,22.759193
8/15/1994,22.161884
9/15/1994,19.812975
10/15/1994,13.003162
11/15/1994,4.8230534
12/15/1994,1.6734622
1/16/1995,1.2665142
2/16/1995,3.9263623
3/15/1995,10.283934
4/15/1995,13.966896
5/15/1995,17.480917
6/15/1995,22.279602
7/15/1995,23.557884
8/15/1995,21.305384
9/15/1995,17.798578
10/15/1995,11.703484
11/15/1995,6.670732
12/15/1995,3.1481123
1/16/1996,5.0484667
2/16/1996,8.314022
3/15/1996,8.603125
4/15/1996,13.216984
5/15/1996,16.705265
6/15/1996,22.706264
7/15/1996,23.466427
8/15/1996,23.218607
9/15/1996,18.85707
10/15/1996,14.597606
11/15/1996,6.391153
12/15/1996,1.7130644
1/16/1997,3.489842
2/16/1997,4.120786
3/15/1997,5.898949
4/15/1997,9.669324
5/15/1997,15.471506
6/15/1997,20.884197
7/15/1997,23.719522
8/15/1997,22.618834
9/15/1997,17.012547
10/15/1997,12.248661
11/15/1997,7.613593
12/15/1997,2.7038853
1/16/1998,2.4837868
2/16/1998,4.717935
3/15/1998,8.748662
4/15/1998,13.233387
5/15/1998,17.89393
6/15/1998,21.74208
7/15/1998,23.699903
8/15/1998,22.244247
9/15/1998,18.793623
10/15/1998,13.192921
11/15/1998,5.511324
12/15/1998,2.3172185
1/16/1999,1.4326168
2/16/1999,2.0247707
3/15/1999,10.585009
4/15/1999,14.833702
5/15/1999,20.323044
6/15/1999,24.573502
7/15/1999,24.255505
8/15/1999,23.319841
9/15/1999,18.850769
10/15/1999,12.4695015
11/15/1999,8.246463
12/15/1999,4.174301
1/16/2000,1.6090944
2/16/2000,7.411331
3/15/2000,9.800633
4/15/2000,14.811635
5/15/2000,18.527447
6/15/2000,21.250132
7/15/2000,23.468122
8/15/2000,23.156136
9/15/2000,19.480614
10/15/2000,12.662148
11/15/2000,7.882114
12/15/2000,2.6314776
1/16/2001,2.808658
2/16/2001,3.7788217
3/15/2001,8.178749
4/15/2001,12.414364
5/15/2001,18.70223
6/15/2001,21.632246
7/15/2001,24.357372
8/15/2001,22.427105
9/15/2001,20.912838
10/15/2001,12.410707
11/15/2001,7.7895656
12/15/2001,2.8575196
1/16/2002,1.328416
2/16/2002,3.8142617
3/15/2002,11.37527
4/15/2002,12.904338
5/15/2002,15.99715
6/15/2002,20.65004
7/15/2002,22.740356
8/15/2002,22.81372
9/15/2002,19.59566
10/15/2002,11.384536
11/15/2002,6.7542233
12/15/2002,4.4169827
1/16/2003,3.0535018
2/16/2003,3.0629423
3/15/2003,6.7175784
4/15/2003,13.207735
5/15/2003,18.099916
6/15/2003,21.04621
7/15/2003,23.496353
8/15/2003,24.244501
9/15/2003,18.73692
10/15/2003,12.713835
11/15/2003,6.0111613
12/15/2003,3.2757356
1/16/2004,3.398272
